Gerçek_Fiyat,Tahmin_Fiyat,Hata,Mutlak_Hata,Yüzde_Hata,Tahmin_MLP,Tahmin_LSTM,Tahmin_Transformer,Tahmin_Ensemble,Tahmin_Basit_Ensemble
69702.14,72475.05,2772.9062,2772.9062,3.9782226,60830.8,65497.16,72475.05,64535.305,66267.664
65446.973,72642.75,7195.7773,7195.7773,10.994821,60780.43,64400.652,72642.75,63974.72,65941.27
65980.81,71726.14,5745.328,5745.328,8.707574,59461.125,61436.5,71726.14,61859.97,64207.92
68508.84,70948.51,2439.664,2439.664,3.5610936,59443.598,61761.156,70948.51,61931.34,64051.082
67837.64,72113.5,4275.8594,4275.8594,6.3030777,60382.297,63282.188,72113.5,63193.418,65259.33
68896.11,71918.42,3022.3125,3022.3125,4.3867683,59875.082,62534.14,71918.42,62598.406,64775.88
69362.555,72200.41,2837.8516,2837.8516,4.0913305,59394.484,63499.27,72200.41,62943.387,65031.387
71631.36,72503.47,872.1094,872.1094,1.2174966,59607.92,64262.2,72503.47,63447.938,65457.863
69139.016,73128.08,3989.0625,3989.0625,5.7696257,61071.605,65757.15,73128.08,64832.594,66652.27
70587.88,72379.54,1791.6562,1791.6562,2.5381923,58251.14,63706.668,72379.54,62640.45,64779.113
70060.61,72110.46,2049.8516,2049.8516,2.925826,58545.496,64505.625,72110.46,63129.01,65053.863
67195.87,72555.41,5359.539,5359.539,7.9759946,57923.984,63969.992,72555.41,62672.176,64816.457
63821.473,71837.266,8015.793,8015.793,12.559711,57760.09,62044.59,71837.266,61544.83,63880.645
65738.73,69005.05,3266.3203,3266.3203,4.9686394,54418.344,59323.77,69005.05,58578.27,60915.72
63426.21,69256.42,5830.211,5830.211,9.192116,55760.96,60489.61,69256.42,59706.93,61835.668
63811.863,68884.28,5072.418,5072.418,7.94902,55409.297,58565.926,68884.28,58549.15,60953.168
61276.69,68625.32,7348.629,7348.629,11.992536,54508.254,58569.55,68625.32,58183.383,60567.707
63512.754,66832.48,3319.7227,3319.7227,5.22686,51708.637,56952.23,66832.48,56102.293,58497.78
63843.57,69333.55,5489.9766,5489.9766,8.599106,54030.395,58671.605,69333.55,58136.344,60678.516
64994.44,70034.93,5040.4883,5040.4883,7.755261,55395.832,58774.203,70034.93,58780.88,61401.656
64926.645,70972.62,6045.9727,6045.9727,9.312005,55618.1,59789.566,70972.62,59489.68,62126.76
66837.68,71322.11,4484.4297,4484.4297,6.7094336,56776.78,59774.09,71322.11,59956.363,62624.33
66407.27,72578.24,6170.9688,6170.9688,9.29261,57992.76,61394.66,72578.24,61383.766,63988.55
64276.9,73271.76,8994.859,8994.859,13.993922,57541.13,61059.3,73271.76,61121.25,63957.395
64481.707,71968.26,7486.551,7486.551,11.610349,55832.71,59266.85,71968.26,59415.715,62355.938
63755.32,72065.445,8310.125,8310.125,13.034402,56494.027,59287.24,72065.445,59685.438,62615.574
63419.14,71493.81,8074.672,8074.672,12.732231,55703.29,58672.234,71493.81,59009.367,61956.45
63113.23,71749.07,8635.84,8635.84,13.683089,54089.934,58324.617,71749.07,58254.797,61387.875
63841.12,71104.836,7263.715,7263.715,11.3778,56179.51,57944.57,71104.836,58772.05,61742.97
60636.855,71428.26,10791.402,10791.402,17.796772,56659.42,58648.105,71428.26,59348.586,62245.26
58254.01,68293.87,10039.855,10039.855,17.234615,55010.656,56092.637,68293.87,57067.984,59799.05
59123.434,65189.004,6065.5703,6065.5703,10.259165,53304.645,54018.188,65189.004,55015.188,57503.94
62889.836,65027.223,2137.3867,2137.3867,3.3986204,53840.953,54298.72,65027.223,55341.664,57722.297
63891.473,69030.766,5139.293,5139.293,8.043785,55420.457,56926.227,69030.766,57731.51,60459.152
64031.133,70573.086,6541.953,6541.953,10.216831,54153.273,57760.668,70573.086,57857.06,60829.01
63161.95,70928.77,7766.824,7766.824,12.296682,55100.49,58224.586,70928.77,58490.168,61417.95
62334.816,70883.08,8548.262,8548.262,13.713463,54461.363,58030.45,70883.08,58145.773,61124.965
61187.94,70137.08,8949.137,8949.137,14.625653,53900.676,57553.78,70137.08,57607.062,60530.51
63049.96,68900.47,5850.508,5850.508,9.279161,52427.49,56347.86,68900.47,56297.32,59225.27
60792.777,69263.05,8470.27,8470.27,13.93302,53417.242,57472.574,69263.05,57285.066,60050.953
60793.71,67561.06,6767.3516,6767.3516,11.131663,52414.023,55784.14,67561.06,55852.363,58586.406
61448.395,68299.05,6850.6523,6850.6523,11.148627,52381.742,56166.285,68299.05,56119.203,58949.027
62901.45,68635.086,5733.6367,5733.6367,9.11527,54507.05,56915.523,68635.086,57338.3,60019.22
61552.79,68869.11,7316.3203,7316.3203,11.886253,54558.81,58000.96,68869.11,57939.24,60476.293
66267.49,67395.55,1128.0547,1128.0547,1.7022746,54450.49,56591.504,67395.55,57011.03,59479.176
65231.582,69406.8,4175.215,4175.215,6.4006033,56376.047,60022.57,69406.8,59716.086,61935.137
67051.875,69867.67,2815.7969,2815.7969,4.1994305,58828.902,59115.83,69867.67,60225.555,62604.137
66940.805,70197.71,3256.9062,3256.9062,4.8653526,60333.434,60419.016,70197.71,61494.15,63650.05
66278.37,70224.086,3945.7188,3945.7188,5.953253,58730.113,60263.29,70224.086,60815.547,63072.5
71448.195,69956.234,-1491.9609,1491.9609,-2.0881717,58719.016,59943.28,69956.234,60617.42,62872.844
70136.53,71601.266,1464.7344,1464.7344,2.0884044,62647.227,63100.48,71601.266,63892.87,65782.99
69122.336,71985.42,2863.086,2863.086,4.142056,60460.15,62278.75,71985.42,62695.066,64908.105
67929.56,72191.9,4262.336,4262.336,6.2746406,59142.113,62005.0,72191.9,62083.617,64446.332
68526.1,72071.9,3545.7969,3545.7969,5.174374,59147.562,61515.79,72071.9,61821.938,64245.082
69265.945,72792.57,3526.625,3526.625,5.091427,58562.332,62535.742,72792.57,62205.336,64630.22
